,lid,t_user_id,time,latitude,longitude,altitude,transportation_mode
3227193,6588,111,2007-04-13 15:23:30-03,39.9754333333333,116.330816666667,252.624671916011,taxi
3227194,6588,111,2007-04-13 15:24:29-03,39.97555,116.331016666667,209.97375328084,taxi
3227195,6588,111,2007-04-13 15:24:48-03,39.9756166666667,116.330266666667,206.69291338582698,taxi
3227196,6588,111,2007-04-13 15:24:57-03,39.9753666666667,116.330333333333,203.412073490814,taxi
3227197,6588,111,2007-04-13 15:25:09-03,39.9752,116.329966666667,190.288713910761,taxi
3227198,6588,111,2007-04-13 15:25:49-03,39.97525,116.32785,196.850393700787,taxi
3227199,6588,111,2007-04-13 15:25:57-03,39.97503333333329,116.32755,196.850393700787,taxi
3227200,6588,111,2007-04-13 15:27:03-03,39.9664,116.328016666667,213.25459317585302,taxi
3227201,6588,111,2007-04-13 15:27:07-03,39.9660333333333,116.32815,213.25459317585302,taxi
3227202,6588,111,2007-04-13 15:29:22-03,39.966066666666705,116.34331666666701,193.569553805774,taxi
3227203,6588,111,2007-04-13 15:29:55-03,39.966133333333296,116.3443,150.918635170604,taxi
3227204,6588,111,2007-04-13 15:32:22-03,39.9665666666667,116.37028333333299,157.48031496063,taxi
3227205,6588,111,2007-04-13 15:32:31-03,39.96655,116.371383333333,157.48031496063,taxi
3227206,6588,111,2007-04-13 15:32:40-03,39.9662333333333,116.37243333333299,164.041994750656,taxi
3227207,6588,111,2007-04-13 15:32:49-03,39.9662166666667,116.373616666667,173.884514435696,taxi
3227208,6588,111,2007-04-13 15:34:07-03,39.9544,116.37305,177.165354330709,taxi
3227209,6588,111,2007-04-13 15:34:31-03,39.9507833333333,116.373066666667,164.041994750656,taxi
3227210,6588,111,2007-04-13 15:34:37-03,39.950466666666706,116.373016666667,160.761154855643,taxi
3227211,6588,111,2007-04-13 15:35:09-03,39.95015,116.37291666666701,170.603674540682,taxi
3227212,6588,111,2007-04-13 15:35:18-03,39.9496,116.372583333333,164.041994750656,taxi
3227213,6588,111,2007-04-13 15:35:33-03,39.948266666666704,116.37251666666701,170.603674540682,taxi
3227214,6588,111,2007-04-13 15:35:38-03,39.947883333333294,116.37278333333299,173.884514435696,taxi
3227215,6588,111,2007-04-13 15:35:46-03,39.947233333333294,116.372883333333,173.884514435696,taxi
3227216,6588,111,2007-04-13 15:35:52-03,39.9469833333333,116.37331666666701,170.603674540682,taxi
3227217,6588,111,2007-04-13 15:35:59-03,39.9471666666667,116.374,170.603674540682,taxi
3227218,6588,111,2007-04-13 15:36:45-03,39.9473833333333,116.380683333333,167.322834645669,taxi
3227219,6588,111,2007-04-13 15:39:56-03,39.9480166666667,116.418916666667,147.637795275591,taxi
3227220,6588,111,2007-04-13 15:41:51-03,39.9398666666667,116.41935,154.199475065617,taxi
3227221,6588,111,2007-04-13 15:42:15-03,39.938266666666706,116.41943333333299,160.761154855643,taxi
3227222,6588,111,2007-04-13 15:42:54-03,39.9353,116.419633333333,160.761154855643,taxi
3227223,6589,111,2007-04-14 03:36:16-03,39.96725,116.385483333333,137.795275590551,bike
3227224,6589,111,2007-04-14 03:36:24-03,39.9672833333333,116.385066666667,131.233595800525,bike
3227225,6589,111,2007-04-14 03:36:34-03,39.96725,116.38445,131.233595800525,bike
3227226,6589,111,2007-04-14 03:36:43-03,39.9672,116.383866666667,144.356955380577,bike
3227227,6589,111,2007-04-14 03:38:05-03,39.9670333333333,116.376966666667,164.041994750656,bike
3227228,6589,111,2007-04-14 03:38:17-03,39.9672666666667,116.3762,154.199475065617,bike
3227229,6589,111,2007-04-14 03:38:25-03,39.9674,116.375666666667,150.918635170604,bike
3227230,6589,111,2007-04-14 03:38:41-03,39.9674166666667,116.3748,144.356955380577,bike
3227231,6589,111,2007-04-14 03:38:48-03,39.967566666666706,116.37456666666701,157.48031496063,bike
3227232,6589,111,2007-04-14 03:39:05-03,39.9674333333333,116.37363333333299,147.637795275591,bike
3227233,6589,111,2007-04-14 03:39:11-03,39.9674166666667,116.37328333333299,147.637795275591,bike
3227234,6589,111,2007-04-14 03:39:19-03,39.967366666666706,116.37286666666701,147.637795275591,bike
3227235,6589,111,2007-04-14 03:39:30-03,39.967383333333295,116.372333333333,147.637795275591,bike
3227236,6589,111,2007-04-14 03:39:49-03,39.9672833333333,116.37175,147.637795275591,bike
3227237,6589,111,2007-04-14 03:39:52-03,39.9670166666667,116.37113333333299,141.076115485564,bike
3227238,6589,111,2007-04-14 03:40:14-03,39.966983333333296,116.36978333333299,141.076115485564,bike
3227239,6589,111,2007-04-14 03:40:36-03,39.9669,116.368116666667,141.076115485564,bike
3227240,6589,111,2007-04-14 03:40:46-03,39.9668333333333,116.367416666667,137.795275590551,bike
3227241,6589,111,2007-04-14 03:41:36-03,39.9669666666667,116.365066666667,137.795275590551,bike
3227242,6589,111,2007-04-14 03:41:41-03,39.966933333333294,116.364833333333,114.829396325459,bike
3227243,6589,111,2007-04-14 03:41:56-03,39.966983333333296,116.36445,154.199475065617,bike
3227244,6589,111,2007-04-14 03:42:05-03,39.9669666666667,116.36428333333299,150.918635170604,bike
3227245,6589,111,2007-04-14 03:42:35-03,39.9668833333333,116.36385,177.165354330709,bike
3227246,6589,111,2007-04-14 03:42:49-03,39.9667833333333,116.363216666667,121.39107611548599,bike
3227247,6589,111,2007-04-14 03:43:00-03,39.96675,116.362566666667,144.356955380577,bike
3227248,6589,111,2007-04-14 03:43:08-03,39.966983333333296,116.3622,150.918635170604,bike
3227249,6589,111,2007-04-14 03:43:13-03,39.96685,116.3618,150.918635170604,bike
3227250,6589,111,2007-04-14 03:43:38-03,39.9667,116.359633333333,147.637795275591,bike
3227251,6589,111,2007-04-14 03:43:59-03,39.966716666666706,116.357933333333,157.48031496063,bike
3227252,6589,111,2007-04-14 03:44:07-03,39.9667666666667,116.357316666667,147.637795275591,bike
3227253,6589,111,2007-04-14 03:44:28-03,39.966716666666706,116.355666666667,141.076115485564,bike
3227254,6589,111,2007-04-14 03:44:38-03,39.966716666666706,116.35488333333299,144.356955380577,bike
3227255,6589,111,2007-04-14 03:45:27-03,39.9666166666667,116.351183333333,160.761154855643,bike
3227256,6589,111,2007-04-14 03:45:35-03,39.9667,116.350683333333,164.041994750656,bike
3227257,6589,111,2007-04-14 03:45:45-03,39.9668166666667,116.35013333333299,170.603674540682,bike
3227258,6589,111,2007-04-14 03:45:59-03,39.967133333333294,116.34928333333299,167.322834645669,bike
3227259,6589,111,2007-04-14 03:46:06-03,39.9673,116.34885,167.322834645669,bike
3227260,6589,111,2007-04-14 03:46:15-03,39.967633333333296,116.348583333333,167.322834645669,bike
3227261,6589,111,2007-04-14 03:46:32-03,39.9687166666667,116.3487,167.322834645669,bike
3227262,6589,111,2007-04-14 03:46:38-03,39.9689166666667,116.348616666667,167.322834645669,bike
3227263,6589,111,2007-04-14 03:46:50-03,39.97033333333329,116.34905,167.322834645669,bike
3227264,6589,111,2007-04-14 03:47:46-03,39.9714666666667,116.34905,167.322834645669,bike
3227265,6589,111,2007-04-14 03:47:49-03,39.9728833333333,116.34835,167.322834645669,bike
3227266,6589,111,2007-04-14 03:47:56-03,39.9732833333333,116.348366666667,167.322834645669,bike
3227267,6589,111,2007-04-14 03:48:03-03,39.9737333333333,116.348333333333,177.165354330709,bike
3227268,6589,111,2007-04-14 03:48:21-03,39.9746,116.348333333333,173.884514435696,bike
3227269,6589,111,2007-04-14 03:48:33-03,39.974866666666706,116.348266666667,249.343832020997,bike
3227270,6589,111,2007-04-14 03:48:55-03,39.975083333333295,116.34825,314.96062992126,bike
3227271,6589,111,2007-04-14 03:49:05-03,39.975266666666705,116.3482,269.028871391076,bike
3227272,6589,111,2007-04-14 03:49:17-03,39.9754333333333,116.348133333333,242.78215223097098,bike
3227273,6589,111,2007-04-14 03:49:33-03,39.9754,116.347333333333,232.939632545932,bike
3227274,6589,111,2007-04-14 03:49:47-03,39.9753,116.3466,190.288713910761,bike
